Código Planta,DESCRIPCIÓN BIMBO,Planta 5,Siglas Línea,Estatus línea,Activo/inactivo,Ubicación física en línea,Centro de Costo,Ubicación física en Planta,BIM,Descripción del activo,Marca,Modelo,Serie,"voltaje, capacidad o dimensiones",Comentarios equipo,Familia Equipo,Grafica análisis,grafica,BIMBO SANTA MARIA
baja,CALDERA # 3 10.5 KG/CM2 CLEAVER BROOKS CB.600.100 MX 5286,SERVICIOS GENERALES,SG,proceso de baja,inactivo,CTO DE MAQ 5 P 118,,Eqpo. c/Código BIM Bajas,baja,CALDERA # 3 10.5 KG/CM2 CLEAVER BROOKS CB.600.100 MX 5286,,,,,,CALDERAS,Eqpo. c/Código BIM Bajas,Capturado,
baja,COMPRESOR DE REFRIGERACION # 1 50 TON MYCOM PEA MB 50 91 92,SERVICIOS GENERALES,SG,proceso de baja,inactivo,CTO DE MAQ 5 P 118,,Eqpo. c/Código BIM Bajas,baja,COMPRESOR DE REFRIGERACION # 1 50 TON MYCOM PEA MB 50 91 92,,,,,,COMPRESORES,Eqpo. c/Código BIM Bajas,Capturado,
baja,COMPRESOR DE REFRIGERACION # 2 40 TON MYCOM PEA MB 40 92 49,SERVICIOS GENERALES,SG,proceso de baja,inactivo,CTO DE MAQ 5 P 118,,Eqpo. c/Código BIM Bajas,baja,COMPRESOR DE REFRIGERACION # 2 40 TON MYCOM PEA MB 40 92 49,,,,,,COMPRESORES,Eqpo. c/Código BIM Bajas,Capturado,
baja,MOTOBOMBA MYCOM # 1 RECIRCULACION DE AGUA FRIA 719LPM/23MTS. PICSA 2 1/2 X 3 X 9 75625,SERVICIOS GENERALES,SG,proceso de baja,inactivo,CTO DE MAQ 5 P 118,,Eqpo. c/Código BIM Bajas,baja,MOTOBOMBA MYCOM # 1 RECIRCULACION DE AGUA FRIA 719LPM/23MTS. PICSA 2 1/2 X 3 X 9 75625,,,,,,BOMBAS,Eqpo. c/Código BIM Bajas,Capturado,
baja,TABLERO # 2FCM (CALDERA Y COMPRESORES DE AIRE) (FUERZA 440/220V CONTROL 127V),SERVICIOS GENERALES,SG,proceso de baja,inactivo,CTO DE MAQ 5 P 118,,Eqpo. c/Código BIM Bajas,baja,TABLERO # 2FCM (CALDERA Y COMPRESORES DE AIRE) (FUERZA 440/220V CONTROL 127V),,,,,,TABLEROS ELECTRICOS,Eqpo. c/Código BIM Bajas,Capturado,
baja,TANQUE DE CONDENSADOS 600 LITROS (0.7 X 1.6 MTS),SERVICIOS GENERALES,SG,proceso de baja,inactivo,CTO DE MAQ 5 P 118,,Eqpo. c/Código BIM Bajas,baja,TANQUE DE CONDENSADOS 600 LITROS (0.7 X 1.6 MTS),,,,,,TANQUES,Eqpo. c/Código BIM Bajas,Capturado,
bim-066805,TABLERO DE BOMBAS DE AGUA NORMAL FUERZA 220V - CONTROL 127 V. LOGEN LB2F3BC 820216,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE B P 117,,,bim-066805,TABLERO E CONTROL  FHBD-AMF,,,,,,TABLEROS ELECTRICOS,Eqpos Código BIM (validados físicamente),Capturado,
bim-067737,PLANTA ELECTRICA DE EMERGENCIA # 1 (220 V) 615 KW STAMFORD BS5000  IEC 34-1 G940548068,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 1 P 117,,,bim-067737,PLANTA DIESEL ELECTRICA DE 600 KW,,,,,,PLANTAS ELECTRICAS DE EMERGENCIA,Eqpos Código BIM (validados físicamente),Capturado,
bim-067877,UPS (VERIFICADORAS DE PESO E IMPRESORAS) 5.3KVA/3.7KW BEST POWER FE 5.3KVA FE (FERROUS SERIES),SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 5 P 118,,,bim-067877,SISTEMA DE ENERGIA ININTERRUMPIDA BEST PL5,,,,,,UPS (NO BREAK),Eqpos Código BIM (validados físicamente),Capturado,
bim-067890,MOTOR DE COMBUSTION INTERNA (RED VS INCENDIOS) 1566 CC (A DIESEL) RUGGERINI TYPE MD 351 NO.5207721,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 4 P 118,,,bim-067890,MOTOBOMBA RUGGERINI RED CONTRA INCENDIO PL5,ruggerini,md351,5207721,,,REDES CONTRA INCENDIOS,Eqpos Código BIM (validados físicamente),Capturado,
bim-067891,"TANQUE DE CONDENSADOS 1800 LITROS (36"" X 108"") BM270407",SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 2 P 117,,,bim-067891,TANQUE CONDENSADOS EN ACERO INOX. CUARTO DE MAQUINAS PL=3,,,,,,TANQUES,Eqpos Código BIM (validados físicamente),Capturado,
por codificar,SUBESTACION COMPACTA C.M. PL.3 16000 KVA SELMEC SEL-723-2M8 93/5-219-1,SERVICIOS GENERALES,SG,,,CTO DE MAQ 2 P 117,,Registro equipo,alta,SUBESTACION COMPACTA C.M. PL.3 16000 KVA SELMEC SEL-723-2M8 93/5-219-1,,,,,es planta tres,SUBESTACIONES ELECTRICAS,Registro equipo,Capturado,
bim-067904,TABLERO DE DISTRIBUCION GENERAL (440 V) 2000 AMPERES FEDERAL PACIFIC CAT.000157901 CLH964,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 2 P 117,,,bim-067904,SUBESTACION COMPACTA MCA:  SELMEC  PL=1  CTO MAQ,,,,,planta tres,TABLEROS ELECTRICOS,Eqpos Código BIM (validados físicamente),Capturado,
bim-067905,TRANSFORMADOR DE DISTRIBUCION # 1 (440 V) 1250 KVA SELMEC PAT.5732710 5020,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 2 P 117,,,bim-067905,TRANSFORMADOR DE DISTRIBUCION DE 1250 KVA.,,,,,,TRANSFORMADORES,Eqpos Código BIM (validados físicamente),Capturado,
bim-068059,MOTOR DE COMBUSTION INTERNA (RED VS INCENDIOS) (A GASOLINA) VOLKSWAGEN ESCARABAJO 126Z128,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE B P 117,,,bim-068059,BOMBA CENTRIFUGA MOTOR VW 16000 SERIE 126Z128,,,,,,BOMBAS,Eqpos Código BIM (validados físicamente),Capturado,
bim-068163,SUBESTACION COMPACTA C.M. PL.5 ELMEX  GEC. ALSTHOM,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 4 P 118,,,bim-068163,SUBESTACIONE ELEC. ELMEX BM-M-734  PL=5,elmex,,,,,SUBESTACIONES ELECTRICAS,Eqpos Código BIM (validados físicamente),Capturado,
bim-068168,PLANTA ELECTRICA DE EMERGENCIA # 3 (440 V) 732 KW SELMEC SCKTA38-2 339210428,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 2 P 117,,,bim-068168,PLANTAS ELECTRICAS SELMEC  # 1 PL=5,,,,,no coincide,PLANTAS ELECTRICAS DE EMERGENCIA,Eqpos Código BIM (validados físicamente),Capturado,
bim-068169,PLANTA ELECTRICA DE EMERGENCIA # 5 (220 V) 732 KW SELMEC SCKTA 38-2 0392 10429,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 4 P 118,,,bim-068169,PLANTAS ELECTRICAS SELMEC  #2  PL=5,,,,,,PLANTAS ELECTRICAS DE EMERGENCIA,Eqpos Código BIM (validados físicamente),Capturado,
bim-068172,TANQUE HIDRONEUMATICO (T.H.#1) (09-UF020240-02) 650 LITROS,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE B P 117,,,bim-068172,RECIPIENTE SUJETO A PRESION 09-UF020240-02,,,,,,TANQUES,Eqpos Código BIM (validados físicamente),Capturado,
bim-068868,TRANSFORMADOR DE DISTRIBUCION # 2 (220 V) 1000 KVA SELMEC 3162,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 4 P 118,,,bim-068868,TRANSFORMADOR ELECTRICO SELMEC  PL=5,,,,,,TRANSFORMADORES,Eqpos Código BIM (validados físicamente),Capturado,
bim-068891,TABLERO # 1FCM (AGUA FRIA Y TORRES DE ENFRIAMIENTO) FUERZA 440/220 V. CONTROL 127 V,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 5 P 118,,,bim-068891,TABLERO ELECTRICO 1FCMTG TIPO ASTM-A-366 AGUA HELADA Y TORRE PL5,,,,,,TABLEROS ELECTRICOS,Eqpos Código BIM (validados físicamente),Capturado,
bim-069091,TRANSFORMADOR DE DISTRIBUCION (220 V) 750 KVA TRAGESA INSTR. NO. UI 2101 UI-21-01,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 1 P 117,,,bim-069091,TRANSFORMADOR ELECTRICO DE 750 KVA  P117,,,,,,TRANSFORMADORES,Eqpos Código BIM (validados físicamente),Capturado,
bim-069092,SUBESTACION COMPACTA C.M. PL.2 SELMEC,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 1 P 117,,,bim-069092,SUBESTACION ELECTRICA MCA ELMEX  PL=1,,,,,,SUBESTACIONES ELECTRICAS,Eqpos Código BIM (validados físicamente),Capturado,
bim-169598,TABLERO FILTRO DE ARMONICAS # 1 (440V) 200 KVAR ARTECHE 787124184FAB020048006PN1RF50 FAB10858  //  24-06-08,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 2 P 117,,,bim-169598,BANCO DE CAPACITADORES AUTOMATICOS CTO MAQ PL3,,,,,,TABLEROS ELECTRICOS,Eqpos Código BIM (validados físicamente),Capturado,
bim-169599,TABLERO FILTRO DE ARMONICAS (FUERZA 220 V) 100 KVAR ARTECHE 787103050FAB010024004PN1R FAB10867 //08-08-08,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 1 P 117,,,bim-169599,BANCO DE CAPACITORES AUTOMATICOS,,,,,,TABLEROS ELECTRICOS,Eqpos Código BIM (validados físicamente),Capturado,
bim-173488,"TANQUE DE AGUA CON GLICOL 9,000 LITROS SOLESP CTZ233 23108-W",SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 3 P 117,,,bim-173488,TANQUE PARA GLICOL PL=3,,,,,,TANQUES,Eqpos Código BIM (validados físicamente),Capturado,
bim-179309,"TANQUE DE AGUA FRIA 9,000 LITROS SOLESP",SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 3 P 117,,,bim-179309,TANQUE FRIO CILINDRICO VERTICAL DE 1300 GAL,,,,,,TANQUES,Eqpos Código BIM (validados físicamente),Capturado,
bim-179459,PLANTA ELECTRICA DE EMERGENCIA # 2 (440 V) 1280 KW MAGNAMAX 742RSL4049 WA-535886-1104,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 2 P 117,,,bim-179459,PLANTA ELECTRICA DIESEL EN CUARTO DE MAQUINAS1 TORTILLA,,,,,no coincide,PLANTAS ELECTRICAS DE EMERGENCIA,Eqpos Código BIM (validados físicamente),Capturado,
bim-180930,PLANTA ELECTRICA DE EMERGENCIA # 4 (440 V) 1280 KW MAGNAMAX 742RSL4049 WA-552077-0706,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 4 P 118,0252,,bim-180930,PLANTA ELECTRICA DIESEL  #4 CM PL5,,,,,,PLANTAS ELECTRICAS DE EMERGENCIA,Eqpos Código BIM (validados físicamente),Capturado,
bim-180965,TABLERO DE COMPRESORES GLICOL FUERZA 440 V CONTROL 110 V. RITTAL TS8805 500 007151,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 3 P 117,0252,,bim-180965,CONTROL DE FUERZA PARA 3 COMPRESORES,,,,,,TABLEROS ELECTRICOS,Eqpos Código BIM (validados físicamente),Capturado,
bim-182332,TRANSFORMADOR DE DISTRIBUCION # 2 (440 V) 1250 KVA IEM PAT. 5334610-1 900113,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 2 P 117,0252,,bim-182332,TRNASFORMADOR DE 1250 KVA PARA CTO DE MAQ NO. 2 PREDIO 117,,,,,,TRANSFORMADORES,Eqpos Código BIM (validados físicamente),Capturado,
bim-182333,TRANSFORMADOR DE DISTRIBUCION # 1 (440 V) 1250 KVA IEM PAT. NO. 5334610-1 900112,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 4 P 118,0252,,bim-182333,TRNASFORMADOR DE 1250 KVA PARA CTO DE MAQ NO. 2 PREDIO 118,,,,,,TRANSFORMADORES,Eqpos Código BIM (validados físicamente),Capturado,
bim-183916,COMPRESOR DE REFRIGERACION # 1 66 TONELADAS MYCOM F6WBHE 637029,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 3 P 117,0252,,bim-183916,COMPRESOR DE REFRIGERACION,,,,,es el 1,COMPRESORES,Eqpos Código BIM (validados físicamente),Capturado,
bim-183917,COMPRESOR DE REFRIGERACION # 2 66 TONELADAS MYCOM F6WBHE 637050,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 3 P 117,0252,,bim-183917,COMPRESOR DE REFRIGERACION,,,,,es el 2,COMPRESORES,Eqpos Código BIM (validados físicamente),Capturado,
bim-183918,COMPRESOR DE REFRIGERACION # 3 66 TONELADAS MYCOM F6WBHE 637049,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 3 P 117,0252,,bim-183918,COMPRESOR DE REFRIGERACION,,,,,es el 3,COMPRESORES,Eqpos Código BIM (validados físicamente),Capturado,
bim-184311,CALDERA # 2 10.5 KG/CM2 CLEAVER BROOKS CB 700-100 MX 7442,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 2 P 117,0252,,bim-184311,CALDERA #2 # SERIE MX7442 CLEAVER BROKSS,,,,,,CALDERAS,Eqpos Código BIM (validados físicamente),Capturado,
bim-185318,TABLERO FILTRO DE ARMONICAS # 1 (FUERZA 440 V) 108 KVAR ARTECHE 787128219FAB010848004PN1R FAB10950//15-06-10,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 4 P 118,0252,,bim-185318,BANCO DE CAPACITORES AUTOMATICO DE 100 KVAR A 4 P118,,,,,,TABLEROS ELECTRICOS,Eqpos Código BIM (validados físicamente),Capturado,
bim-187517,COMPRESOR DE AIRE # 2 477 CFM INGERSOLL RAND SSR-XF100 CK6805U05237,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 2 P 117,0252,,bim-187517,COMPRESOR DE AIRE SSR XF-100 TIPO TORNILLO 460V #2 CTO MAQ PL3,,,,,,COMPRESORES,Eqpos Código BIM (validados físicamente),Capturado,
bim-187519,TABLERO FILTRO DE ARMONICAS # 2 (FUERZA 440 V) 200 KVAR ARTECHE FAB 0200  480  06P  N1  R  F50 FAB 10973,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 2 P 117,0252,,bim-187519,FILTRO DE ARMONICOS AUTOMATICO DE 200KVAR ARCHETE CTO MAQ P117,,,,,,TABLEROS ELECTRICOS,Eqpos Código BIM (validados físicamente),Capturado,
bim-188008,COMPRESOR DE AIRE # 1 477 CFM INGERSOLL RAND SSR-XF100 CK9325U10314,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 2 P 117,0252,,bim-188008,COMPRESOR DE AIRE SSR XF-100 TIPO TORNILLO,ingresoll rand,,,,,COMPRESORES,Eqpos Código BIM (validados físicamente),Capturado,
bim-188009,COMPRESOR DE AIRE # 3 477 CFM INGERSOLL RAND SSR-XF100 CK9326U10314,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 2 P 117,0252,,bim-188009,COMPRESOR DE AIRE SSR XF-100 TIPO TORNILLO,,,,,,COMPRESORES,Eqpos Código BIM (validados físicamente),Capturado,
bim-188010,SECADOR DE AIRE 220 PSIG INGERSOLL RAND NVC1600A400 491525  M410,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 2 P 117,0252,,bim-188010,SECADORA REFRIGERATIVA CICLICA NVC1600 P117,,,,,,SECADORES,Eqpos Código BIM (validados físicamente),Capturado,
bim-199358,TANQUE DE AIRE # 2 (TA # 13) 150 PSI NB SO17155 CRN  L3980.561234,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 2 P 117,0252,,bim-199358,TANQUE DE ACERO AL CARBON  VERTICAL 09UF12000502,,,,,,TANQUES,Eqpos Código BIM (validados físicamente),Capturado,
bim-200744,TANQUE DE AIRE # 1 150 PSI NB SO 19090 CRN  L3980.561234,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 2 P 117,0252,,bim-200744,TANQUE DE ALMACEN DE AIRE 2 09UF11024902,,,,,,TANQUES,Eqpos Código BIM (validados físicamente),Capturado,
bim-200749,CALDERA # 1 10.5 KG/CM2 CLEAVER BROOKS CB 700-100 MX 7530,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 2 P 117,0252,,bim-200749,CALDERA #1 # SERIE MX7530 P117,,,,,,CALDERAS,Eqpos Código BIM (validados físicamente),Capturado,
bim-202116,"TANQUE VERTICAL DE RED DE AGUA CALIENTE 4,026 LITROS (5KG/CM2) MASS TIPO DE PLACA ASTM A-36 11-5003",SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 5 P 118,0252,,bim-202116,TANQUE VERTICAL CM P118,,,,,,TANQUES,Eqpos Código BIM (validados físicamente),Capturado,
bim-227720,COMPRESOR DE AIRE # 4 478 CFM INGERSOLL RAND R75I-TAS-A103 VK1282U12137,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 6 P 118,1860,,bim-227720,COMPRESOR DE AIRE No. 4,,,,,,COMPRESORES,Eqpos Código BIM (validados físicamente),Capturado,
bim-227721,COMPRESOR DE AIRE # 5 478 CFM INGERSOLL RAND R75I-TAS-A103 VK1281U12136,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 6 P 118,0252,,bim-227721,COMPRESOR DE AIRE No. 5,,,,,,COMPRESORES,Eqpos Código BIM (validados físicamente),Capturado,
bim-227722,INTERCAMBIADOR DE CALOR DE PLACAS 62 PLACAS 10.2 AT  AT 120 C ALFA LAVAL M10 - MBASE PO  0558A - 09,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 3 P 117,0252,,bim-227722,INTERCAMBIADOR DE CALOR DE PLACA MARCA ALFA CUARTO DE MAQUINAS PL R,,,,,,INTERCAMBIADORES,Eqpos Código BIM (validados físicamente),Capturado,
bim-237883,"TANQUE VERTICAL DE AGUA FRIA 11,000 LITROS (2.20 X 3.0 MTS)",SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE MAQ 5 P 118,0252,,bim-237883,TANQUE DE ALMACENAMIENTO DE AGUA FRIA CUARTO DE MAQUINAS No4,,,,,,TANQUES,Eqpos Código BIM (validados físicamente),Capturado,
sin codigo,BATERIA DE ARRANQUE (RED VS. INCENDIOS P-117) 12 V.C.D.,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE B P 117,0252,Registro equipo,alta,BATERIA DE ARRANQUE (RED VS. INCENDIOS P-117) 12 V.C.D.,roadstar,,,,,BATERIAS PARA AUTO,Registro equipo,Capturado,
por codificar,"BOMBA ""CHICA"" DE FOSA DE TRAILERS BARNES",SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE B P 117,0252,Registro equipo,alta,"BOMBA ""CHICA"" DE FOSA DE TRAILERS BARNES",barres,,,,,BOMBAS,Registro equipo,Capturado,
por codificar,"BOMBA ""GRANDE"" DE FOSA DE TRAILERS BARNES",SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE B P 117,0252,Registro equipo,alta,"BOMBA ""GRANDE"" DE FOSA DE TRAILERS BARNES",barres,,,,,BOMBAS,Registro equipo,Capturado,
por codificar,BOMBA # 1 DE RED DE AGUA NORMAL GRUPO 9 1/2 WORTHINGTON 2-CNFE-84 MX 70-0493,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE B P 117,0252,Registro equipo,alta,BOMBA # 1 DE RED DE AGUA NORMAL GRUPO 9 1/2 WORTHINGTON 2-CNFE-84 MX 70-0493,worthington,,,,,BOMBAS,Registro equipo,Capturado,
por codificar,BOMBA # 2 DE RED DE AGUA NORMAL DIAM. 9.0 ASARG 2-CNFE-84 168.93.1,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE B P 117,0252,Registro equipo,alta,BOMBA # 2 DE RED DE AGUA NORMAL DIAM. 9.0 ASARG 2-CNFE-84 168.93.1,asarg,,,,,BOMBAS,Registro equipo,Capturado,
por codificar,BOMBA # 3 DE RED DE AGUA NORMAL GRUPO 9 1/2 WORTHINGTON 2-CNFE-84 MX 70-0493,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE B P 117,0252,Registro equipo,alta,BOMBA # 3 DE RED DE AGUA NORMAL GRUPO 9 1/2 WORTHINGTON 2-CNFE-84 MX 70-0493,worthington,,,,,BOMBAS,Registro equipo,Capturado,
por codificar,CLORINADOR (PRED.117) 0/2.0/20.0 PPM (-10/+110 ºC) (110/220 VAC) B-C ELECTRONICS CL 7685 (SOFTWARE R:2.6X) SN 159095,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE B P 117,0252,Registro equipo,alta,CLORINADOR (PRED.117) 0/2.0/20.0 PPM (-10/+110 ºC) (110/220 VAC) B-C ELECTRONICS CL 7685 (SOFTWARE R:2.6X) SN 159095,milton roy,,,,,CLORINADORES,Registro equipo,Capturado,
por codificar,COMPRESOR DE AIRE KAESER SX5 5 HP KAESER SX5,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE B P 117,0252,Registro equipo,alta,COMPRESOR DE AIRE KAESER SX5 5 HP KAESER SX5,kaeser,sx5,1410,220v,,COMPRESORES,Registro equipo,Capturado,
por codificar,CUARTO DE BOMBAS (P.117),SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE B P 117,0252,Registro equipo,alta,CUARTO DE BOMBAS (P.117),,,,,es el area,TALLERES,Registro equipo,Capturado,
por codificar,MOTOBOMBA ELECTRICA CHICA (RED VS. INCENDIOS) PICSA AURORA AV - 4 REF.53661 O.T.44555,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE B P 117,0252,Registro equipo,alta,MOTOBOMBA ELECTRICA CHICA (RED VS. INCENDIOS) PICSA AURORA AV - 4 REF.53661 O.T.44555,aurora pumps,av-4,,,,REDES CONTRA INCENDIOS,Registro equipo,Capturado,
por codificar,MOTOBOMBA ELECTRICA GRANDE (RED VS. INCENDIOS) 284LPM/90MTS. PICSA AURORA 1 1/2 X 2 X 9 TIPO 341 REF. 53659 SECC.340,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE B P 117,0252,Registro equipo,alta,MOTOBOMBA ELECTRICA GRANDE (RED VS. INCENDIOS) 284LPM/90MTS. PICSA AURORA 1 1/2 X 2 X 9 TIPO 341 REF. 53659 SECC.340,plcsa,1-1/2x2x9,,,,REDES CONTRA INCENDIOS,Registro equipo,Capturado,
por codificar,REGADERA DE EMERGENCIA CON LAVA-OJOS,SERVICIOS GENERALES,SG,equipo en linea,activo,CTO DE B P 117,0252,Registro equipo,alta,REGADERA DE EMERGENCIA CON LAVA-OJOS,bradley,,,,,EQUIPO DE SEGURIDAD,Registro equipo,Capturado,
