Código Planta,DESCRIPCIÓN BIMBO,Línea de producción,Siglas Línea,Estatus línea,Activo/inactivo,Ubicación física en línea,Centro de Costo,Ubicación física en Planta,BIM,Descripción del activo,Marca,Modelo,Serie,"voltaje, capacidad o dimensiones",Comentarios equipo,Familia Equipo,grafica,Gráfica analisis,,,
BIM-127665,SISTEMA ALIMENTACION Y DISTRIBUCION ENCARTONADORA SYNCHROSYS,Bolleria 2,BO2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2712,,Transferencia,SISTEMA ALIMENTACION Y DISTRIBUCION ENCARTONADORA SYNCHROSYS,SYNCHROSYS,NA,NA,NA,BIMBO TOLUCA,SISTEMA,Capturado,Equipo. c/Código BIM Transferidos a otras plantas,,,
BIM-127669,TABLERO AUTOSOPORTADO DE 2 PUERTAS SYNCHROSYS,Bolleria 2,BO2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2712,,Transferencia,TABLERO AUTOSOPORTADO DE 2 PUERTAS SYNCHROSYS PL6 BO2,SYNCHROSYS,NA,NA,NA,BIMBO TOLUCA,TABLERO,Capturado,Equipo. c/Código BIM Transferidos a otras plantas,,,
BIM-128615,ACOPLAMIENTO DE TRANSFERENCIA A ENVOLVEDORA,Bolleria 2,BO2,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2712,,Transferencia,ACOPLAMIENTO DE TRANSFERENCIA A ENVOLVEDORA PL6 BO2,GENERICA,NA,NA,NA,BIMBO TOLUCA,ACOPLAMIENTO,Capturado,Equipo. c/Código BIM Transferidos a otras plantas,,,
BIM-066803,DIVISORA AMF BAKERY SYSTEMS MOD HBD LASE 4 DIV BO2,Bolleria 2,BO2,FUERA DE USO UTILIZABLE,INACTIVO,PROCESO ,2702,,Transferencia,DIVISORA AMF BAKERY SYSTEMS MOD HBD SERIE 00099 CLASE 4 DIV BO2,BAKERY SYSTEMS,NA,00099 C,NA,Pendiente validar,DIVISORA ,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-066804,FERMENTADOR AMF MOD ACCU  CLASE 5  DIVISION 104,Bolleria 2,BO2,FUERA DE USO UTILIZABLE,INACTIVO,PROCESO ,2702,,BIM-066804,FERMENTADOR AMF MOD ACCU SERIE 00100 CLASE 5  DIVISION 104,GENERICA,ACCU,100,NA,,FERMENTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067902,TABLERO DE CONTROL DALE 6400  PL=6,Bolleria 2,BO2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2702,,BIM-067902,TABLERO DE CONTROL TAPADO CONCHAS A LADO ENFRIADOR PL6 BO2,GENERICA,NA,NA,NA,,TABLERO,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067933,CAMARA DE VAPOR SIN MCA PL=6,Bolleria 2,BO2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2702,,Transferencia,CAMARA DE VAPOR SIN MCA PL6 BO2,GENERICA,NA,NA,NA,Pendiente validar,CAMARA,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067934,HORNO CONTINUO 1888 SERIE  PL=6 28 COLUMPIOS,Bolleria 2,BO2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2702,,BIM-067934,HORNO CONTINUO MIDDLEBY 1888 28 COLUMPIOS PL6 BO2,MIDDLEBY ,NA,NA,NA,,HORNO,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067935,TRANSPORTADOR RECTO DE BANDA DOBLE TABLETOP PL=6  B12,Bolleria 2,BO2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2702,,BIM-067935,TRANSPORTADOR RECTO DE BANDA DOBLE TABLETOP SALIDA HORNO,GENERICA,NA,NA,NA,,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067936,TRANSPORTADOR CURVO DE 180 GRADOS BANDA DOB  B=13,Bolleria 2,BO2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2702,,BIM-067936,TRANSPORTADOR CURVO DE 180° BANDA DOB  B-3 PL6 BO2,GENERICA,NA,NA,NA,,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067937,TRANSPORTADOR RECTO DE BANDA DOBLE TABLE TO  PL=6 B-19,Bolleria 2,BO2,FUERA DE USO UTILIZABLE ,INACTIVO,PROCESO ,2702,,BIM-067937,TRANSPORTADOR RECTO DE BANDA DOBLE TABLE TOP B19 PL6 BO2,GENERICA,NA,NA,NA,,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067938,TRANSPORTADOR RECTO BANDA DOBLE TABLE TOP 7  PL=6  B17,Bolleria 2,BO2,FUERA DE USO UTILIZABLE ,INACTIVO,PROCESO ,2702,,BIM-067938,"TRANSPORTADOR RECTO BANDA DOBLE TABLE TOP 3.5"" B17 PL6 BO2",GENERICA,NA,NA,NA,,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067939,TRANSPORTADOR RECTO BANDA DOBLE TABLE TOP 3  PL=6 SALIDA DESMOLDEADOR,Bolleria 2,BO2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2702,,BIM-067939,TRANSPORTADOR DECORADO DE SEMA PL6 BO2,GENERICA,NA,NA,NA,,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067940,VACIADOR DE MOLDES ALTERNATIVO DE A PL=6 DESMOLDEADOR,Bolleria 2,BO2,FUERA DE USO UTILIZABLE,INACTIVO,PROCESO ,2702,,BIM-067940,VACIADOR DE MOLDES ALTERNATIVO DE A DESMOLDEADOR PL6 BO2,GENERICA,NA,NA,NA,,VACIADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067941,TRANSPORTADOR CURVO 90G DOBLE TABLE TOP Y R  PL=6 B-20,Bolleria 2,BO2,FUERA DE USO UTILIZABLE ,INACTIVO,PROCESO ,2702,,BIM-067941,"TRANSPORTADOR CURVO 90° DOBLE TABLE TABLILLA 4.5"" A.I.  B20 PL6",GENERICA,NA,NA,NA,,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067942,TRANSPORTADOR RECTO DOBLE TABLE TOP DE 8 MT  PL=6 B-21,Bolleria 2,BO2,FUERA DE USO UTILIZABLE,INACTIVO,PROCESO ,2702,,BIM-067942,TRANSPORTADOR RECTO DOBLE TABLE TOP DE 8 MT B21 PL6 BO2,GENERICA,NA,NA,NA,,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067944,MEZCLADORA DE ESPONJAS PL= 6 PARA PASTAS,Bolleria 2,BO2,FUERA DE USO UTILIZABLE,INACTIVO,PROCESO ,2702,,Transferencia,MEZCLADORA DE ESPONJAS PEERLES BARR PARA PASTAS PL6 BO2, PEERLES BARR ,NA,NA,NA,Pendiente validar,MEZCLADORA,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067945,TRANSPORTADOR CON GUIAS PARA LEVANTADO DE PRODUCTO  PL=6 B-22,Bolleria 2,BO2,FUERA DE USO UTILIZABLE ,INACTIVO,PROCESO ,2702,,BIM-067945,"TRANSPORTADOR TABLILLAS 3.5"" SALIDA DESMOLDEADOR B22 PL6 BO2",GENERICA,NA,NA,NA,,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067946,TRANSPORTADOR CURVO DE 90 GRADOS BANDA DOBL PL=6 B-22,Bolleria 2,BO2,FUERA DE USO UTILIZABLE ,INACTIVO,PROCESO ,2702,,BIM-067946,TRANSPORTADOR CURVO DE 90° BANDA DOBLE B23 PL6 BO2,GENERICA,NA,NA,NA,,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067947,TRANSPORTADOR RECTO DE BANDA DOBLE TABLE-TO  PL=6 B-24,Bolleria 2,BO2,FUERA DE USO UTILIZABLE,INACTIVO,PROCESO ,2702,,BIM-067947,TRANSPORTADOR RECTO DE BANDA DOBLE TABLE TOP B24 PL6 BO2,GENERICA,NA,NA,NA,,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067949,TRANSPORTADOR RECTO BANDA DOBLE TABLE TOP 7  PL=6  B-27,Bolleria 2,BO2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2702,,BIM-067949,TRANSPORTADOR RECTO BANDA DOBLE TABLE TOP 7  B28 PL6 BO2,GENERICA,NA,NA,NA,,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067955,DEPOSITADORA  PL=6 CONOS DEPOSITADORES,Bolleria 2,BO2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2702,,Transferencia,DEPOSITADORA  PL=6 CONOS DEPOSITADORES,GENERICA,NA,NA,NA,Pendiente validar,DEPOSITADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067961,BOMBA CREPACO P/CONCHAS 4R  PL=6,Bolleria 2,BO2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2702,,Transferencia,BOMBA CREPACO P/CONCHAS 4R  PL6 BO2,CREPACO,NA,NA,NA,Pendiente validar,BOMBA,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067969,CABEZAL FORMADORA DE TORTILLAS MCA:  CELORIO  PL=6  No. 1,Bolleria 2,BO2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2702,,Transferencia,TORTILLADORA CELORIO PARA CONCHAS #2 PL6 BO2,CELORIO,NA,NA,NA,HAZPAN,CABEZAL,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067971,TORTILLADORA CELORIO PARA CONCHAS #2,Bolleria 2,BO2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2702,,Transferencia,TORTILLADORA CELORIO PARA CONCHAS #4 PLATAFORMA PL3 PL6 BO2,CELORIO,NA,NA,NA,BIMBO TOLUCA,TORTILLADORA,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067977,TRANSPORTADOR B34-00-0125  PL=6  90 GRADOS,Bolleria 2,BO2,FUERA DE USO UTILIZABLE,INACTIVO,PROCESO ,2702,,BIM-067977,TRANSPORTADOR CURVO 90° B34 PL6 BO2,GENERICA,NA,B34-00-0125 ,NA,,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067978,TRANSPORTADOR B35-00-0126  PL=6 00-0126,Bolleria 2,BO2,FUERA DE USO UTILIZABLE,INACTIVO,PROCESO ,2702,,BIM-067978,TRANSPORTADOR B35-00-0126  PL=6 00-0126,GENERICA,NA,B35-00-0126,NA,,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067979,TRANSPORTADOR B36-00-0127  PL=6,Bolleria 2,BO2,FUERA DE USO UTILIZABLE,INACTIVO,PROCESO ,2702,,BIM-067979,TRANSPORTADOR B36-00-0127  PL=6,GENERICA,NA,B36-00-0127,NA,,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067980,TRANSPORTADOR B37-00-0128 PL=6,Bolleria 2,BO2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2702,,Transferencia,TRANSPORTADOR B37-00-0128 PL=6,GENERICA,NA,B37-00-0128,NA,BIMBO TOLUCA,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067981,TRANSPORTADOR B38-00-0129  PL=6,Bolleria 2,BO2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2702,,Transferencia,TRANSPORTADOR B38-00-0129  PL=6,GENERICA,NA,B38-00-0129,NA,BIMBO TOLUCA,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067983,LAVADORA DE MOLDES VERTICAL ACERO INOXIDABLE  PL=6 SMA,Bolleria 2,BO2,FUERA DE USO UTILIZABLE,INACTIVO,PROCESO ,2702,,Transferencia,LAVADORA DE MOLDES VERTICAL ACERO INOXIDABLE  PL6 BO2,SMA,NA,NA,NA,Pendiente validar,LAVADORA,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067984,TABLERO ELECTRICO B6FC401 00-0215  PL=6,Bolleria 2,BO2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2702,,BIM-067984,TABLERO ELECTRICO 2FBCS DESMOLDEO LAVADORA MOLDES TRANSP,GENERICA,NA,NA,NA,,TABLERO,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-068298,TABLERO 2FVP6 ELECTRICO S-01-0313 PL=6,Bolleria 2,BO2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2702,,BIM-068298,TABLERO 2FVP6 ELECTRICO LAVADORA MOLDES S-01-0313 PL6 BO2,GENERICA,NA,NA,NA,,TABLERO,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-068912,ARTESA PARA LAS LINEAS DE PRODUCCION  PL=6  No 1,Bolleria 2,BO2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2702,,Transferencia,ARTEZA PARA LAS LINEAS DE PRODUCCION #1 PL6 BO2,GENERICA,NA,NA,NA,Pendiente validar,ARTESA,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-068913,ARTESA PARA LAS LINEAS DE PRODUCCION  PL=6  No 2,Bolleria 2,BO2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2702,,Transferencia,ARTEZA PARA LAS LINEAS DE PRODUCCION  #2 PL6 BO2,GENERICA,NA,NA,NA,Pendiente validar,ARTESA,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-068926,ARTESA PARA LAS LINEAS DE PRODUCCION  PL=6  No 3,Bolleria 2,BO2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2702,,Transferencia,ARTEZA PARA LAS LINEAS DE PRODUCCION #3 PL6 BO2,GENERICA,NA,NA,NA,Pendiente validar,ARTESA,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-068927,ARTESA PARA LAS LINEAS DE PRODUCCION  PL=6  No 4,Bolleria 2,BO2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2702,,Transferencia,ARTEZA PARA LAS LINEAS DE PRODUCCION #4 PL6 BO2,GENERICA,NA,NA,NA,Pendiente validar,ARTESA,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-068928,ARTESA PARA LAS LINEAS DE PRODUCCION  PL=6  No 5,Bolleria 2,BO2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2702,,Transferencia,ARTEZA PARA LAS LINEAS DE PRODUCCION  #5 PL6  BO2,GENERICA,NA,NA,NA,Pendiente validar,ARTESA,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-069135,TRANSPORTADOR ACOSTADOR DE MOLDES MAQUINDAL SERIE N97-0151  PL=6 B-25,Bolleria 2,BO2,FUERA DE USO UTILIZABLE ,INACTIVO,PROCESO ,2702,,BIM-069135,TRANSPORTADOR ACOSTADOR DE MOLDES MAQUINDAL SERIE N97-0151  PL=6 B-25,MAQUINDAL,NA,N97-0151,NA,,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-069137,TRASPORTADOR LEVANTADOR DE MOLDES MAQUINDAL SERIE No 97-0153  PL=6,Bolleria 2,BO2,FUERA DE USO UTILIZABLE ,INACTIVO,PROCESO ,2702,,BIM-069137,TRASPORTADOR LEVANTADOR DE MOLDES MAQUINDAL SERIE No 97-0153,MAQUINDAL,NA,N97-0153,NA,,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-071252,ELEVADOR DE ARTESAS TIPO TORNILLO  PL=6,Bolleria 2,BO2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2702,,Transferencia,ELEVADOR DE ARTEZAS TIPO TORNILLO  PL6 BO2,GENERICA,NA,NA,NA,Pendiente validar,ELEVADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-078888,SISTEMA DE AHORRO DE ENERGIA Y CONTROL DE VELOCIDAD,Bolleria 2,BO2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2702,,BIM-078888,SISTEMA DE AHORRO DE ENERGIA Y CONTROL DE VELOCIDAD PL6 BO2,GENERICA,NA,NA,NA,,SISTEMA,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-109109,TRANSPORTADOR DE UCTO SALIDA DESMOLDEADOR DE CONCHAS B33,Bolleria 2,BO2,FUERA DE USO UTILIZABLE ,INACTIVO,PROCESO ,2702,,BIM-109109,TRANSPORTADOR DE UCTO SALIDA DESMOLDEADOR DE CONCHAS B33,GENERICA,NA,NA,NA,,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-143240,CABEZAL P DESMOLDEAR CONCHAS CON PLACA DE ALUMINIO,Bolleria 2,BO2,FUERA DE USO UTILIZABLE,INACTIVO,PROCESO ,2702,,Transferencia,CABEZAL P DESMOLDEAR CONCHAS CON PLACA DE ALUMINIO PL6 BO2,GENERICA,NA,NA,NA,Pendiente validar,CABEZAL,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-181958,BANDA TRANSPORTADORA MARCA INTRALOX DE 31 DE ANCHO,Bolleria 2,BO2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2702,,Transferencia,"BANDA TRANSPORTADORA MARCA INTRALOX DE 31"" DE ANCHO",INTRALOX,NA,NA,NA,Pendiente validar,BANDA,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-181959,BANDA TRANSPORTADORA MARCA INTRALOX DE 31 DE ANCHO,Bolleria 2,BO2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2702,,Transferencia,"BANDA TRANSPORTADORA MARCA INTRALOX DE 31"" DE ANCHO",INTRALOX,NA,NA,NA,Pendiente validar,BANDA,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-181960,TRANSPORTADOR SINCRONIZADOR DE MOLDES DE 2.5 MTS DE LARGO,Bolleria 2,BO2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2702,,BIM-181960,TRANSPORTADOR SINCRONIZADOR DE MOLDES DE 2.5 MTS DE LARGO,GENERICA,NA,NA,NA,,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-181961,DEPOSITADOR DE BOLAS DE MASA A MOLDE,Bolleria 2,BO2,FUERA DE USO UTILIZABLE,INACTIVO,PROCESO ,2702,,Transferencia,DEPOSITADOR DE BOLAS DE MASA A MOLDE PL6 BO2,GENERICA,NA,NA,NA,Pendiente validar,DEPOSITADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-187534,TRANSPORTADOR SINCRONIZADOR COMPLENTO BIM-181960,Bolleria 2,BO2,FUERA DE USO UTILIZABLE,INACTIVO,PROCESO ,2702,,BIM-187534,TRANSPORTADOR SINCRONIZADOR COMPLENTO BIM-181960 B06 PL6 BO2,GENERICA,NA,NA,NA,,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-187535,DEPOSITADOR DE BOLAS DE MASA COMPLENTO ACTIVO BIM-181961,Bolleria 2,BO2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2702,,Transferencia,DEPOSITADOR DE BOLAS DE MASA COMPLENTO ACTIVO BIM-181961,GENERICA,NA,NA,NA,Pendiente validar,DEPOSITADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-187620,TRANSPORTADOR DE RETORNO DE MOLDES A LA SALIDA DE LA DESMOLDEADORA,Bolleria 2,BO2,EQUIPO EN LINEA,ACTIVO,PROCESO ,2702,,BIM-187620,TRANSPORTADOR DE RETORNO DE MOLDES A LA SALIDA DEL DESMOL,GENERICA,NA,NA,NA,,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067045,TRANSPORTADOR RECTO SALIDA EMBOLSADORA,EMPAQUES ESPECIALES,EE,FUERA DE USO UTILIZABLE ,INACTIVO,EMPAQUE,1560,,BIM-067045,TRANSPORTADOR RECTO SALIDA EMBOLSADORA,GENERICA,NA,NA,NA,,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-184973,Analizador de Textura CT3 4500GR PARA BIMBO MEXICO SANTA MARIA EL CRISOL S.A,LABORATORIO,LAB,EQUIPO EN LINEA,ACTIVO,PROCESO ,0154,,BIM-184973,Analizador de Textura CT3 4500GR PARA BIMBO MEXICO SANTA MARIA EL CRISOL SA,GENERICA,NA,CT34500,NA,,ANALIZADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-067546,ENFRIADOR EN ESPIRAL HELIMATIC PL=1,PLANTA 1,PL1,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2701,,BIM-067546,ENFRIADOR EN ESPIRAL HELIMATIC PL1 BO1,HELIMATIC,NA,NA,,,ENFRIADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-068107,TRANSPORTADOR A LA SALD HNO B-PL=1,PLANTA 1,PL1,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2701,,BIM-068107,TRANSPORTADOR A LA SALIDA HORNO B PL1 BO1,GENERICA,NA,NA,,,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-068121,TRANSPORTADOR  P 19  CURVA 90° SALIDA DEL DETECTOR,PLANTA 1,PL1,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2701,,BIM-068121,BANDA GLASEADO SANITARIA  PL1 BO1,GENERICA,NA,NA,,,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-068141,TRANSPORTADOR CURVO 90 GRD BI-07 PL=1,PLANTA 1,PL1,BAJA DEFINITIVA,INACTIVO,EMPAQUE,2701,,Baja,TRANSPORTADOR CURVO 90 GRD BI-07 PL=1,GENERICA,NA,NA,,,TRANSPORTADOR,Capturado,Equipo c/Código BIM Bajas,,,
BIM-068142,TRANSPORTADOR CURVO 90 GRD BI-10 PL=1,PLANTA 1,PL1,BAJA DEFINITIVA,INACTIVO,EMPAQUE,2701,,Baja,TRANSPORTADOR CURVO 90 GRD BI-10 PL=1,GENERICA,NA,NA,,,TRANSPORTADOR,Capturado,Equipo c/Código BIM Bajas,,,
BIM-068157,TRANSPORTADOR  P 8  SALIDA DE ENFRIADOR,PLANTA 1,PL1,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2701,,BIM-068157,TRAMO RECTO DE BARILLAS A LA SALIDA DEL ENFRIADOR PL1 BO1,GENERICA,NA,NA,,,TRANSPORTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-068160,TRANSPORTADOR P05 PARA LINEA DE ROLES ALIMENTACION AL ENFRIADOR,PLANTA 1,PL1,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2711,,BIM-068160,TRANSPORTADOR P05 PARA LINEA DE ROLES ALIMENTACION AL ENFRIADOR,GENERICA,NA,NA,,,TRANSPORTADOR,Capturado,Equipo c/Código BIM validados físicamente pendiente de actualizar listado ON,,,
BIM-068496,DETECTOR DE METALES,PLANTA 1,PL1,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2701,,BIM-068496,DETECTOR DE METALES  MCA. LOMA  N° SERIE  97-0360  #4 PL1 BO1,GENERICA,NA,NA,,,DETECTOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-071260,REBANADORA DE ROLES PL=1,PLANTA 1,PL1,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2701,,BIM-071260,REBANADORA DE ROLES PL1 BO1,GENERICA,NA,NA,,ROLES,REBANADORA,Capturado,Equipo c/Código BIM (validados físicamente),,,
BIM-083093,ALIMENTADOR DE CHAROLILLAS TERMOFORMADAS,PLANTA 1,PL1,EQUIPO EN LINEA,ACTIVO,EMPAQUE,2711,,BIM-083093,ALIMENTADOR DE CHAROLILLAS TERMOFORMADAS NEUMATICO,GENERICA,NA,NA,,,ALIMENTADOR,Capturado,Equipo c/Código BIM (validados físicamente),,,
