Código Planta,DESCRIPCIÓN BIMBO,Línea de producción,Siglas Línea,Estatus línea,Activo/inactivo,Ubicación física en línea,Centro de Costo,Ubicación física en Planta,BIM,Descripción del activo,Marca,Modelo,Serie,"voltaje, capacidad o dimensiones",Comentarios equipo,Familia Equipo,Grafica análisis,grafica,,ABASTEX
POR CODIFICAR,CALDERA # 3 10.5 KG/CM2 CLEAVER BROOKS CB.600.100 MX 5286,SERVICIOS GENERALES,SG,PROCESO DE BAJA,INACTIVO,,,Eqpo. c/Código BIM Bajas,Baja,CALDERA # 3 10.5 KG/CM2 CLEAVER BROOKS CB.600.100 MX 5286,,,,,CTO DE MAQ 5 P 118,CALDERAS,Eqpo. c/Código BIM Bajas,Capturado,,BIMBO SAN LUIS
POR CODIFICAR,COMPRESOR DE REFRIGERACION # 1 50 TON MYCOM PEA MB 50 91 92,SERVICIOS GENERALES,SG,PROCESO DE BAJA,INACTIVO,,,Eqpo. c/Código BIM Bajas,Baja,COMPRESOR DE REFRIGERACION # 1 50 TON MYCOM PEA MB 50 91 92,,,,,CTO DE MAQ 5 P 118,COMPRESORES,Eqpo. c/Código BIM Bajas,Capturado,,BIMBO SANTA MARIA
POR CODIFICAR,COMPRESOR DE REFRIGERACION # 2 40 TON MYCOM PEA MB 40 92 49,SERVICIOS GENERALES,SG,PROCESO DE BAJA,INACTIVO,,,Eqpo. c/Código BIM Bajas,Baja,COMPRESOR DE REFRIGERACION # 2 40 TON MYCOM PEA MB 40 92 49,,,,,CTO DE MAQ 5 P 118,COMPRESORES,Eqpo. c/Código BIM Bajas,Capturado,,BIMBO TIJUANA
POR CODIFICAR,MOTOBOMBA MYCOM # 1 RECIRCULACION DE AGUA FRIA 719LPM/23MTS. PICSA 2 1/2 X 3 X 9 75625,SERVICIOS GENERALES,SG,PROCESO DE BAJA,INACTIVO,,,Eqpo. c/Código BIM Bajas,Baja,MOTOBOMBA MYCOM # 1 RECIRCULACION DE AGUA FRIA 719LPM/23MTS. PICSA 2 1/2 X 3 X 9 75625,,,,,CTO DE MAQ 5 P 118,BOMBAS,Eqpo. c/Código BIM Bajas,Capturado,,BIMBO TOLUCA
POR CODIFICAR,TABLERO # 2FCM (CALDERA Y COMPRESORES DE AIRE) (FUERZA 440/220V CONTROL 127V),SERVICIOS GENERALES,SG,PROCESO DE BAJA,INACTIVO,,,Eqpo. c/Código BIM Bajas,Baja,TABLERO # 2FCM (CALDERA Y COMPRESORES DE AIRE) (FUERZA 440/220V CONTROL 127V),,,,,CTO DE MAQ 5 P 118,TABLEROS ELECTRICOS,Eqpo. c/Código BIM Bajas,Capturado,,BIMBO VERACRUZ
POR CODIFICAR,TANQUE DE CONDENSADOS 600 LITROS (0.7 X 1.6 MTS),SERVICIOS GENERALES,SG,PROCESO DE BAJA,INACTIVO,,,Eqpo. c/Código BIM Bajas,Baja,TANQUE DE CONDENSADOS 600 LITROS (0.7 X 1.6 MTS),,,,,CTO DE MAQ 5 P 118,TANQUES,Eqpo. c/Código BIM Bajas,Capturado,,BIMBO VILLAHERMOSA
BIM-066805,TABLERO DE BOMBAS DE AGUA NORMAL FUERZA 220V - CONTROL 127 V. LOGEN LB2F3BC 820216,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE B P 117,,,BIM-066805,TABLERO E CONTROL  FHBD-AMF,,,,,,TABLEROS ELECTRICOS,Eqpos Código BIM (validados físicamente),Capturado,,CEDIS  ACAYUCAN
BIM-067737,PLANTA ELECTRICA DE EMERGENCIA # 1 (220 V) 615 KW STAMFORD BS5000  IEC 34-1 G940548068,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 1 P 117,,,BIM-067737,PLANTA DIESEL ELECTRICA DE 600 KW,,,,,,PLANTAS ELECTRICAS DE EMERGENCIA,Eqpos Código BIM (validados físicamente),Capturado,,CEDIS ABASTEX
BIM-067877,UPS (VERIFICADORAS DE PESO E IMPRESORAS) 5.3KVA/3.7KW BEST POWER FE 5.3KVA FE (FERROUS SERIES),SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 5 P 118,,,BIM-067877,SISTEMA DE ENERGIA ININTERRUMPIDA BEST PL5,,,,,,UPS (NO BREAK),Eqpos Código BIM (validados físicamente),Capturado,,CEDIS GUADALAJARA
BIM-067890,MOTOR DE COMBUSTION INTERNA (RED VS INCENDIOS) 1566 CC (A DIESEL) RUGGERINI TYPE MD 351 NO.5207721,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 4 P 118,,,BIM-067890,MOTOBOMBA RUGGERINI RED CONTRA INCENDIO PL5,ruggerini,md351,5207721,,,REDES CONTRA INCENDIOS,Eqpos Código BIM (validados físicamente),Capturado,,CEDIS METRO
BIM-067891,"TANQUE DE CONDENSADOS 1800 LITROS (36"" X 108"") BM270407",SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 2 P 117,,,BIM-067891,TANQUE CONDENSADOS EN ACERO INOX. CUARTO DE MAQUINAS PL=3,,,,,,TANQUES,Eqpos Código BIM (validados físicamente),Capturado,,CEDIS NORTE
POR CODIFICAR,SUBESTACION COMPACTA C.M. PL.3 16000 KVA SELMEC SEL-723-2M8 93/5-219-1,SERVICIOS GENERALES,SG,,,CTO DE MAQ 2 P 117,,Registro equipo,Alta,SUBESTACION COMPACTA C.M. PL.3 16000 KVA SELMEC SEL-723-2M8 93/5-219-1,,,,,es planta tres,SUBESTACIONES ELECTRICAS,Registro equipo,Capturado,,El Globo Mexico
BIM-067904,TABLERO DE DISTRIBUCION GENERAL (440 V) 2000 AMPERES FEDERAL PACIFIC CAT.000157901 CLH964,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 2 P 117,,,BIM-067904,SUBESTACION COMPACTA MCA:  SELMEC  PL=1  CTO MAQ,,,,,planta tres,TABLEROS ELECTRICOS,Eqpos Código BIM (validados físicamente),Capturado,,GALLETAS GABI
BIM-067905,TRANSFORMADOR DE DISTRIBUCION # 1 (440 V) 1250 KVA SELMEC PAT.5732710 5020,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 2 P 117,,,BIM-067905,TRANSFORMADOR DE DISTRIBUCION DE 1250 KVA.,,,,,,TRANSFORMADORES,Eqpos Código BIM (validados físicamente),Capturado,,GALLETAS LARA
BIM-068059,MOTOR DE COMBUSTION INTERNA (RED VS INCENDIOS) (A GASOLINA) VOLKSWAGEN ESCARABAJO 126Z128,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE B P 117,,,BIM-068059,BOMBA CENTRIFUGA MOTOR VW 16000 SERIE 126Z128,,,,,,BOMBAS,Eqpos Código BIM (validados físicamente),Capturado,,HAZPAN
BIM-068163,SUBESTACION COMPACTA C.M. PL.5 ELMEX  GEC. ALSTHOM,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 4 P 118,,,BIM-068163,SUBESTACIONE ELEC. ELMEX BM-M-734  PL=5,elmex,,,,,SUBESTACIONES ELECTRICAS,Eqpos Código BIM (validados físicamente),Capturado,,MARILARA
BIM-068168,PLANTA ELECTRICA DE EMERGENCIA # 3 (440 V) 732 KW SELMEC SCKTA38-2 339210428,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 2 P 117,,,BIM-068168,PLANTAS ELECTRICAS SELMEC  # 1 PL=5,,,,,no coincide,PLANTAS ELECTRICAS DE EMERGENCIA,Eqpos Código BIM (validados físicamente),Capturado,,MARINELA MEXICO
BIM-068169,PLANTA ELECTRICA DE EMERGENCIA # 5 (220 V) 732 KW SELMEC SCKTA 38-2 0392 10429,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 4 P 118,,,BIM-068169,PLANTAS ELECTRICAS SELMEC  #2  PL=5,,,,,,PLANTAS ELECTRICAS DE EMERGENCIA,Eqpos Código BIM (validados físicamente),Capturado,,MARINELA MONTERREY
BIM-068172,TANQUE HIDRONEUMATICO (T.H.#1) (09-UF020240-02) 650 LITROS,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE B P 117,,,BIM-068172,RECIPIENTE SUJETO A PRESION 09-UF020240-02,,,,,,TANQUES,Eqpos Código BIM (validados físicamente),Capturado,,MARINELA OCCIDENTE
BIM-068868,TRANSFORMADOR DE DISTRIBUCION # 2 (220 V) 1000 KVA SELMEC 3162,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 4 P 118,,,BIM-068868,TRANSFORMADOR ELECTRICO SELMEC  PL=5,,,,,,TRANSFORMADORES,Eqpos Código BIM (validados físicamente),Capturado,,MARINELA VILLAHERMOSA
BIM-068891,TABLERO # 1FCM (AGUA FRIA Y TORRES DE ENFRIAMIENTO) FUERZA 440/220 V. CONTROL 127 V,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 5 P 118,,,BIM-068891,TABLERO ELECTRICO 1FCMTG TIPO ASTM-A-366 AGUA HELADA Y TORRE PL5,,,,,,TABLEROS ELECTRICOS,Eqpos Código BIM (validados físicamente),Capturado,,SANISSIMO
BIM-069091,TRANSFORMADOR DE DISTRIBUCION (220 V) 750 KVA TRAGESA INSTR. NO. UI 2101 UI-21-01,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 1 P 117,,,BIM-069091,TRANSFORMADOR ELECTRICO DE 750 KVA  P117,,,,,,TRANSFORMADORES,Eqpos Código BIM (validados físicamente),Capturado,,SUANDY
BIM-069092,SUBESTACION COMPACTA C.M. PL.2 SELMEC,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 1 P 117,,,BIM-069092,SUBESTACION ELECTRICA MCA ELMEX  PL=1,,,,,,SUBESTACIONES ELECTRICAS,Eqpos Código BIM (validados físicamente),Capturado,,TIA ROSA
BIM-169598,TABLERO FILTRO DE ARMONICAS # 1 (440V) 200 KVAR ARTECHE 787124184FAB020048006PN1RF50 FAB10858  //  24-06-08,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 2 P 117,,,BIM-169598,BANCO DE CAPACITADORES AUTOMATICOS CTO MAQ PL3,,,,,,TABLEROS ELECTRICOS,Eqpos Código BIM (validados físicamente),Capturado,,WONDER
BIM-169599,TABLERO FILTRO DE ARMONICAS (FUERZA 220 V) 100 KVAR ARTECHE 787103050FAB010024004PN1R FAB10867 //08-08-08,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 1 P 117,,,BIM-169599,BANCO DE CAPACITORES AUTOMATICOS,,,,,,TABLEROS ELECTRICOS,Eqpos Código BIM (validados físicamente),Capturado,,
BIM-173488,"TANQUE DE AGUA CON GLICOL 9,000 LITROS SOLESP CTZ233 23108-W",SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 3 P 117,,,BIM-173488,TANQUE PARA GLICOL PL=3,,,,,,TANQUES,Eqpos Código BIM (validados físicamente),Capturado,,
BIM-179309,"TANQUE DE AGUA FRIA 9,000 LITROS SOLESP",SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 3 P 117,,,BIM-179309,TANQUE FRIO CILINDRICO VERTICAL DE 1300 GAL,,,,,,TANQUES,Eqpos Código BIM (validados físicamente),Capturado,,
BIM-179459,PLANTA ELECTRICA DE EMERGENCIA # 2 (440 V) 1280 KW MAGNAMAX 742RSL4049 WA-535886-1104,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 2 P 117,,,BIM-179459,PLANTA ELECTRICA DIESEL EN CUARTO DE MAQUINAS1 TORTILLA,,,,,no coincide,PLANTAS ELECTRICAS DE EMERGENCIA,Eqpos Código BIM (validados físicamente),Capturado,,
BIM-180930,PLANTA ELECTRICA DE EMERGENCIA # 4 (440 V) 1280 KW MAGNAMAX 742RSL4049 WA-552077-0706,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 4 P 118,0252,,BIM-180930,PLANTA ELECTRICA DIESEL  #4 CM PL5,,,,,,PLANTAS ELECTRICAS DE EMERGENCIA,Eqpos Código BIM (validados físicamente),Capturado,,
BIM-180965,TABLERO DE COMPRESORES GLICOL FUERZA 440 V CONTROL 110 V. RITTAL TS8805 500 007151,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 3 P 117,0252,,BIM-180965,CONTROL DE FUERZA PARA 3 COMPRESORES,,,,,,TABLEROS ELECTRICOS,Eqpos Código BIM (validados físicamente),Capturado,,
BIM-182332,TRANSFORMADOR DE DISTRIBUCION # 2 (440 V) 1250 KVA IEM PAT. 5334610-1 900113,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 2 P 117,0252,,BIM-182332,TRNASFORMADOR DE 1250 KVA PARA CTO DE MAQ NO. 2 PREDIO 117,,,,,,TRANSFORMADORES,Eqpos Código BIM (validados físicamente),Capturado,,
BIM-182333,TRANSFORMADOR DE DISTRIBUCION # 1 (440 V) 1250 KVA IEM PAT. NO. 5334610-1 900112,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 4 P 118,0252,,BIM-182333,TRNASFORMADOR DE 1250 KVA PARA CTO DE MAQ NO. 2 PREDIO 118,,,,,,TRANSFORMADORES,Eqpos Código BIM (validados físicamente),Capturado,,
BIM-183916,COMPRESOR DE REFRIGERACION # 1 66 TONELADAS MYCOM F6WBHE 637029,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 3 P 117,0252,,BIM-183916,COMPRESOR DE REFRIGERACION,,,,,es el 1,COMPRESORES,Eqpos Código BIM (validados físicamente),Capturado,,
BIM-183917,COMPRESOR DE REFRIGERACION # 2 66 TONELADAS MYCOM F6WBHE 637050,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 3 P 117,0252,,BIM-183917,COMPRESOR DE REFRIGERACION,,,,,es el 2,COMPRESORES,Eqpos Código BIM (validados físicamente),Capturado,,
BIM-183918,COMPRESOR DE REFRIGERACION # 3 66 TONELADAS MYCOM F6WBHE 637049,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 3 P 117,0252,,BIM-183918,COMPRESOR DE REFRIGERACION,,,,,es el 3,COMPRESORES,Eqpos Código BIM (validados físicamente),Capturado,,
BIM-184311,CALDERA # 2 10.5 KG/CM2 CLEAVER BROOKS CB 700-100 MX 7442,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 2 P 117,0252,,BIM-184311,CALDERA #2 # SERIE MX7442 CLEAVER BROKSS,,,,,,CALDERAS,Eqpos Código BIM (validados físicamente),Capturado,,
BIM-185318,TABLERO FILTRO DE ARMONICAS # 1 (FUERZA 440 V) 108 KVAR ARTECHE 787128219FAB010848004PN1R FAB10950//15-06-10,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 4 P 118,0252,,BIM-185318,BANCO DE CAPACITORES AUTOMATICO DE 100 KVAR A 4 P118,,,,,,TABLEROS ELECTRICOS,Eqpos Código BIM (validados físicamente),Capturado,,
BIM-187517,COMPRESOR DE AIRE # 2 477 CFM INGERSOLL RAND SSR-XF100 CK6805U05237,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 2 P 117,0252,,BIM-187517,COMPRESOR DE AIRE SSR XF-100 TIPO TORNILLO 460V #2 CTO MAQ PL3,,,,,,COMPRESORES,Eqpos Código BIM (validados físicamente),Capturado,,
BIM-187519,TABLERO FILTRO DE ARMONICAS # 2 (FUERZA 440 V) 200 KVAR ARTECHE FAB 0200  480  06P  N1  R  F50 FAB 10973,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 2 P 117,0252,,BIM-187519,FILTRO DE ARMONICOS AUTOMATICO DE 200KVAR ARCHETE CTO MAQ P117,,,,,,TABLEROS ELECTRICOS,Eqpos Código BIM (validados físicamente),Capturado,,
BIM-188008,COMPRESOR DE AIRE # 1 477 CFM INGERSOLL RAND SSR-XF100 CK9325U10314,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 2 P 117,0252,,BIM-188008,COMPRESOR DE AIRE SSR XF-100 TIPO TORNILLO,ingresoll rand,,,,,COMPRESORES,Eqpos Código BIM (validados físicamente),Capturado,,
BIM-188009,COMPRESOR DE AIRE # 3 477 CFM INGERSOLL RAND SSR-XF100 CK9326U10314,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 2 P 117,0252,,BIM-188009,COMPRESOR DE AIRE SSR XF-100 TIPO TORNILLO,,,,,,COMPRESORES,Eqpos Código BIM (validados físicamente),Capturado,,
BIM-188010,SECADOR DE AIRE 220 PSIG INGERSOLL RAND NVC1600A400 491525  M410,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 2 P 117,0252,,BIM-188010,SECADORA REFRIGERATIVA CICLICA NVC1600 P117,,,,,,SECADORES,Eqpos Código BIM (validados físicamente),Capturado,,
BIM-199358,TANQUE DE AIRE # 2 (TA # 13) 150 PSI NB SO17155 CRN  L3980.561234,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 2 P 117,0252,,BIM-199358,TANQUE DE ACERO AL CARBON  VERTICAL 09UF12000502,,,,,,TANQUES,Eqpos Código BIM (validados físicamente),Capturado,,
BIM-200744,TANQUE DE AIRE # 1 150 PSI NB SO 19090 CRN  L3980.561234,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 2 P 117,0252,,BIM-200744,TANQUE DE ALMACEN DE AIRE 2 09UF11024902,,,,,,TANQUES,Eqpos Código BIM (validados físicamente),Capturado,,
BIM-200749,CALDERA # 1 10.5 KG/CM2 CLEAVER BROOKS CB 700-100 MX 7530,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 2 P 117,0252,,BIM-200749,CALDERA #1 # SERIE MX7530 P117,,,,,,CALDERAS,Eqpos Código BIM (validados físicamente),Capturado,,
BIM-202116,"TANQUE VERTICAL DE RED DE AGUA CALIENTE 4,026 LITROS (5KG/CM2) MASS TIPO DE PLACA ASTM A-36 11-5003",SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 5 P 118,0252,,BIM-202116,TANQUE VERTICAL CM P118,,,,,,TANQUES,Eqpos Código BIM (validados físicamente),Capturado,,
BIM-227720,COMPRESOR DE AIRE # 4 478 CFM INGERSOLL RAND R75I-TAS-A103 VK1282U12137,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 6 P 118,1860,,BIM-227720,COMPRESOR DE AIRE No. 4,,,,,,COMPRESORES,Eqpos Código BIM (validados físicamente),Capturado,,
BIM-227721,COMPRESOR DE AIRE # 5 478 CFM INGERSOLL RAND R75I-TAS-A103 VK1281U12136,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 6 P 118,0252,,BIM-227721,COMPRESOR DE AIRE No. 5,,,,,,COMPRESORES,Eqpos Código BIM (validados físicamente),Capturado,,
BIM-227722,INTERCAMBIADOR DE CALOR DE PLACAS 62 PLACAS 10.2 AT  AT 120 C ALFA LAVAL M10 - MBASE PO  0558A - 09,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 3 P 117,0252,,BIM-227722,INTERCAMBIADOR DE CALOR DE PLACA MARCA ALFA CUARTO DE MAQUINAS PL R,,,,,,INTERCAMBIADORES,Eqpos Código BIM (validados físicamente),Capturado,,
BIM-237883,"TANQUE VERTICAL DE AGUA FRIA 11,000 LITROS (2.20 X 3.0 MTS)",SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE MAQ 5 P 118,0252,,BIM-237883,TANQUE DE ALMACENAMIENTO DE AGUA FRIA CUARTO DE MAQUINAS No4,,,,,,TANQUES,Eqpos Código BIM (validados físicamente),Capturado,,
sin codigo,BATERIA DE ARRANQUE (RED VS. INCENDIOS P-117) 12 V.C.D.,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE B P 117,0252,Registro equipo,alta,BATERIA DE ARRANQUE (RED VS. INCENDIOS P-117) 12 V.C.D.,roadstar,,,,,BATERIAS PARA AUTO,Registro equipo,Capturado,,
POR CODIFICAR,"BOMBA ""CHICA"" DE FOSA DE TRAILERS BARNES",SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE B P 117,0252,Registro equipo,Alta,"BOMBA ""CHICA"" DE FOSA DE TRAILERS BARNES",barres,,,,,BOMBAS,Registro equipo,Capturado,,
POR CODIFICAR,"BOMBA ""GRANDE"" DE FOSA DE TRAILERS BARNES",SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE B P 117,0252,Registro equipo,Alta,"BOMBA ""GRANDE"" DE FOSA DE TRAILERS BARNES",barres,,,,,BOMBAS,Registro equipo,Capturado,,
POR CODIFICAR,BOMBA # 1 DE RED DE AGUA NORMAL GRUPO 9 1/2 WORTHINGTON 2-CNFE-84 MX 70-0493,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE B P 117,0252,Registro equipo,Alta,BOMBA # 1 DE RED DE AGUA NORMAL GRUPO 9 1/2 WORTHINGTON 2-CNFE-84 MX 70-0493,worthington,,,,,BOMBAS,Registro equipo,Capturado,,
POR CODIFICAR,BOMBA # 2 DE RED DE AGUA NORMAL DIAM. 9.0 ASARG 2-CNFE-84 168.93.1,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE B P 117,0252,Registro equipo,Alta,BOMBA # 2 DE RED DE AGUA NORMAL DIAM. 9.0 ASARG 2-CNFE-84 168.93.1,asarg,,,,,BOMBAS,Registro equipo,Capturado,,
POR CODIFICAR,BOMBA # 3 DE RED DE AGUA NORMAL GRUPO 9 1/2 WORTHINGTON 2-CNFE-84 MX 70-0493,SERVICIOS GENERALES,SG,equipo en linea,ACTIVO,CTO DE B P 117,0252,Registro equipo,Alta,BOMBA # 3 DE RED DE AGUA NORMAL GRUPO 9 1/2 WORTHINGTON 2-CNFE-84 MX 70-0493,worthington,,,,,BOMBAS,Registro equipo,Capturado,,
